suite,component,type,layer,head,mean_drop
agreement,L11.H3,head,11,3.0,-0.0181
agreement,L11.H4,head,11,4.0,-0.0034
agreement,L11.H5,head,11,5.0,-0.0721
agreement,L11.H6,head,11,6.0,-0.0621
agreement,L11.H7,head,11,7.0,0.3884
agreement,L11.H8,head,11,8.0,-0.0068
agreement,L11.H9,head,11,9.0,-0.0427
agreement,L11.H10,head,11,10.0,-0.0113
agreement,L11.H11,head,11,11.0,0.1907
agreement,L0.MLP,mlp,0,,4.9638
agreement,L1.MLP,mlp,1,,0.7602
agreement,L2.MLP,mlp,2,,0.5738
agreement,L3.MLP,mlp,3,,1.3148
agreement,L4.MLP,mlp,4,,1.0992
agreement,L5.MLP,mlp,5,,0.6412
agreement,L6.MLP,mlp,6,,0.1512
agreement,L7.MLP,mlp,7,,0.3037
agreement,L8.MLP,mlp,8,,0.6708
agreement,L9.MLP,mlp,9,,-0.4452
agreement,L10.MLP,mlp,10,,2.0545
agreement,L11.MLP,mlp,11,,-11.8367
factual_recall,L0.H0,head,0,0.0,-0.0877
factual_recall,L0.H1,head,0,1.0,0.1194
factual_recall,L0.H2,head,0,2.0,0.136
factual_recall,L0.H3,head,0,3.0,0.1677
factual_recall,L0.H4,head,0,4.0,0.5796
factual_recall,L0.H5,head,0,5.0,0.6116
factual_recall,L0.H6,head,0,6.0,0.2625
factual_recall,L0.H7,head,0,7.0,1.886
factual_recall,L0.H8,head,0,8.0,0.041
factual_recall,L0.H9,head,0,9.0,-0.2294
factual_recall,L0.H10,head,0,10.0,0.2629
factual_recall,L0.H11,head,0,11.0,0.064
factual_recall,L1.H0,head,1,0.0,0.151
factual_recall,L1.H1,head,1,1.0,-0.572
factual_recall,L1.H2,head,1,2.0,0.6017
factual_recall,L1.H3,head,1,3.0,0.2349
factual_recall,L1.H4,head,1,4.0,0.3291
factual_recall,L1.H5,head,1,5.0,-0.0684
factual_recall,L1.H6,head,1,6.0,0.677
factual_recall,L1.H7,head,1,7.0,-0.4203
factual_recall,L1.H8,head,1,8.0,-0.1875
factual_recall,L1.H9,head,1,9.0,-0.0156
factual_recall,L1.H10,head,1,10.0,0.0212
factual_recall,L1.H11,head,1,11.0,0.2246
factual_recall,L2.H0,head,2,0.0,0.1703
factual_recall,L2.H1,head,2,1.0,0.0963
factual_recall,L2.H2,head,2,2.0,0.0099
factual_recall,L2.H3,head,2,3.0,-0.0121
factual_recall,L2.H4,head,2,4.0,0.4977
factual_recall,L2.H5,head,2,5.0,0.1478
factual_recall,L2.H6,head,2,6.0,0.5738
factual_recall,L2.H7,head,2,7.0,-0.2306
factual_recall,L2.H8,head,2,8.0,0.2565
factual_recall,L2.H9,head,2,9.0,-0.3678
factual_recall,L2.H10,head,2,10.0,0.0246
factual_recall,L2.H11,head,2,11.0,-0.0741
factual_recall,L3.H0,head,3,0.0,0.1727
factual_recall,L3.H1,head,3,1.0,0.131
factual_recall,L3.H2,head,3,2.0,-0.1254
factual_recall,L3.H3,head,3,3.0,0.4977
factual_recall,L3.H4,head,3,4.0,-0.0354
factual_recall,L3.H5,head,3,5.0,-0.2311
factual_recall,L3.H6,head,3,6.0,0.2188
factual_recall,L3.H7,head,3,7.0,0.3145
factual_recall,L3.H8,head,3,8.0,0.1991
factual_recall,L3.H9,head,3,9.0,0.6839
factual_recall,L3.H10,head,3,10.0,0.2906
factual_recall,L3.H11,head,3,11.0,-0.0828
factual_recall,L4.H0,head,4,0.0,0.0326
factual_recall,L4.H1,head,4,1.0,0.5756
factual_recall,L4.H2,head,4,2.0,0.67
factual_recall,L4.H3,head,4,3.0,-0.0582
factual_recall,L4.H4,head,4,4.0,0.0415
factual_recall,L4.H5,head,4,5.0,0.2758
factual_recall,L4.H6,head,4,6.0,-0.1374
factual_recall,L4.H7,head,4,7.0,0.1202
factual_recall,L4.H8,head,4,8.0,0.0881
factual_recall,L4.H9,head,4,9.0,0.3547
factual_recall,L4.H10,head,4,10.0,-0.1974
factual_recall,L4.H11,head,4,11.0,0.0511
factual_recall,L5.H0,head,5,0.0,0.0585
factual_recall,L5.H1,head,5,1.0,0.0666
factual_recall,L5.H2,head,5,2.0,0.0845
factual_recall,L5.H3,head,5,3.0,0.0662
factual_recall,L5.H4,head,5,4.0,0.0014
